Sep 27, 2018 10:50:15 PM org.apache.karaf.main.Main launch
INFO: Installing and starting initial bundles
Sep 27, 2018 10:50:16 PM org.apache.karaf.main.Main launch
INFO: All initial bundles installed and set to start
Sep 27, 2018 10:50:16 PM org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Trying to lock C:\Users\My T430\Desktop\apache-karaf-4.2.1\lock
Sep 27, 2018 10:50:16 PM org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Lock acquired
Sep 27, 2018 10:50:16 PM org.apache.karaf.main.Main$KarafLockCallback lockAcquired
INFO: Lock acquired. Setting startlevel to 100
2018-09-27T22:50:20,686 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.1 |   org.apache.aries.util/1.1.3
2018-09-27T22:50:20,689 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.1 |   org.apache.karaf.deployer.wrap/4.2.1
2018-09-27T22:50:20,699 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.1 |   org.apache.karaf.deployer.kar/4.2.1
2018-09-27T22:50:20,708 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.1 |   org.apache.karaf.deployer.features/4.2.1
2018-09-27T22:50:20,862 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.1 |   org.jline.terminal/3.9.0
2018-09-27T22:50:20,865 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.1 |   org.jline.reader/3.9.0
2018-09-27T22:50:20,867 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.1 |   org.jline.builtins/3.9.0
2018-09-27T22:50:20,869 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.1 |   org.apache.karaf.shell.core/4.2.1
2018-09-27T22:50:20,931 | INFO  | features-3-thread-1 | CommandExtension                 | 35 - org.apache.karaf.shell.core - 4.2.1 | Registering commands for bundle org.apache.karaf.deployer.kar/4.2.1
2018-09-27T22:50:21,471 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.1 |   org.apache.karaf.config.core/4.2.1
